"","Mean","Std.Dev.","X2.5.","X97.5."
"HATCH (R UT)",0.99375068594963,0.0396515208632179,0.918376070912166,1.07028364880647
"SHELBY (R AL)",1.01759128595129,0.0399626272343027,0.938751141233244,1.10147312414804
"HUTCHISON (R TX)",1.05957875072359,0.0434785113222721,0.974785636603337,1.14820718264386
"GRASSLEY (R IA)",1.08437300604739,0.0421017387133763,0.9988956208367,1.16873717472204
"JOHANNS (R NE)",1.10375169997938,0.0436870222365223,1.02109831683052,1.19253120894376
"WICKER (R MS)",1.11710697754588,0.0445379709962215,1.03539280961061,1.20765298371471
"GRAHAM (R SC)",1.16567942043830,0.0484144431879397,1.07044596478185,1.26427730757605
"BROWNBACK (R KS)",1.19378415129579,0.0500766583729697,1.09616156874053,1.28919765043820
"ROBERTS (R KS)",1.20553457334947,0.0500664625635716,1.11255799890310,1.30958238347114
"ISAKSON (R GA)",1.20795518858360,0.0487278288893215,1.11679966708756,1.30651438393008
"VITTER (R LA)",1.26494640948865,0.0524425449941635,1.16501946532776,1.36821023725387
"CRAPO (R ID)",1.28652575589737,0.0509164187005354,1.18973177852294,1.38756297105620
"MCCONNELL (R KY)",1.31731205620944,0.0528058426615163,1.21497037777271,1.42127079154488
"RISCH (R ID)",1.31844920525372,0.0509146536357866,1.21947284752417,1.42262024078181
"ENSIGN (R NV)",1.32289039525932,0.0524144551130112,1.22277296135077,1.42754497998432
"CHAMBLISS (R GA)",1.34775694331471,0.0550426744688163,1.24067142474304,1.45735147560652
"MCCAIN (R AZ)",1.37206964261925,0.057375240065971,1.26422247065539,1.48664270620065
"BURR (R NC)",1.37383149859350,0.0576244028320895,1.26187749477398,1.48871552097708
"ENZI (R WY)",1.39044838051466,0.058842989802296,1.28009308825109,1.50828944756455
"THUNE (R SD)",1.39359856216155,0.0570827910017941,1.28738230619002,1.50468404736606
"BARRASSO (R WY)",1.40779372231001,0.0572157217978463,1.2954880160784,1.52409512598547
"KYL (R AZ)",1.43825018009545,0.0610403561304005,1.32673374113203,1.55774150055477
"SESSIONS (R AL)",1.44532529037647,0.0610363979896777,1.33391699396576,1.56953215722168
"CORNYN (R TX)",1.47246543570220,0.0627118673384995,1.3504426009955,1.59145367114559
"INHOFE (R OK)",1.56425363583742,0.0659812626289186,1.43270538796530,1.69652791235743
"BUNNING (R KY)",1.73852856157042,0.0779483002496613,1.59386239146997,1.89824292358085
"DEMINT (R SC)",1.88011336834294,0.088238963773948,1.72210233806650,2.05133593171090
"COBURN (R OK)",2.10614147958698,0.110775824767440,1.89452861380063,2.34065272485088
